id,recomendaciones
12600,"[""Oddworld: Abe's Oddysee®"", ""Oddworld: New 'n' Tasty"", ""Oddworld: Munch's Oddysee"", 'Kabitis', 'Grim Fandango Remastered']"
8320,"[""Oddworld: Abe's Exoddus®"", ""Oddworld: Munch's Oddysee"", ""Oddworld: New 'n' Tasty"", ""Oddworld: Abe's Oddysee - Official Soundtrack"", 'Kabitis']"
12590,"['RETRO – Expansion Pack for RACE 07', 'RACE 07', 'GT Power Pack – Expansion Pack for RACE 07', 'STCC - The Game 1 - Expansion Pack for RACE 07', 'STCC The Game 2 – Expansion Pack for RACE 07']"
12560,"['UFO: Aftermath', 'Fallout Tactics: Brotherhood of Steel', 'UFO: Afterlight', 'X-COM: UFO Defense', 'X-COM: Terror From the Deep']"
12540,"['S.T.A.L.K.E.R.: Shadow of Chernobyl', 'S.T.A.L.K.E.R.: Call of Pripyat', 'Frozen State', 'System Shock 2', 'Unturned']"
11050,"['Crysis', 'Crysis 2 - Maximum Edition', 'Half-Life 2: Lost Coast', '3089 -- Futuristic Action RPG', 'Far Cry®']"
10520,"['Crysis 2 - Maximum Edition', 'Crysis Warhead®', 'Far Cry®', 'Half-Life 2', 'Half-Life 2: Lost Coast']"
11040,"['Space Wrangler', 'Ancient Space', 'The Tomorrow War', 'The Battle of Sol', 'Parkan 2']"
19500,"['The Witcher 2: Assassins of Kings Enhanced Edition', 'Gothic 1', 'Fable - The Lost Chapters', 'Game of Thrones', 'Fable Anniversary']"
11260,"['Z', 'Evolution RTS', 'Simple RTS', 'Darwinia', 'Army Men RTS']"
19200,"['STCC The Game 2 – Expansion Pack for RACE 07', 'RETRO – Expansion Pack for RACE 07', 'GT Power Pack – Expansion Pack for RACE 07', 'WTCC 2010 – Expansion Pack for RACE 07', 'GTR Evolution Expansion Pack for RACE 07']"
12360,"['Children of the Nile: Enhanced Edition', 'City Play', 'City Builder', 'Tropico 5', 'The Guild II Renaissance']"
15710,"[""Sid Meier's Civilization® IV"", ""Sid Meier's Civilization V: Brave New World"", ""Sid Meier's Civilization V: Gods and Kings"", ""Sid Meier's Civilization® III Complete"", 'Civilization IV: Beyond the Sword']"
15700,"[""Tom Clancy's Rainbow Six® Vegas"", ""Tom Clancy's Rainbow Six® Siege"", ""Tom Clancy's Rainbow Six® Vegas 2"", ""Tom Clancy's Rainbow Six Lockdown™"", ""Tom Clancy's Ghost Recon®""]"
8660,"['LEGO® Batman™3: Beyond Gotham', 'LEGO® Batman 2 DC Super Heroes™', ""LEGO® MARVEL's Avengers"", 'LEGO® Marvel™ Super Heroes', 'The LEGO® Movie - Videogame']"
7770,"['City Play', 'City Builder', 'Soviet City', 'City Z - Soundtrack', 'Icity - a Flight Sim ... and a City Builder']"
7660,"['City Builder', 'City Play', 'RPG Tycoon', 'Megacity Builder', 'Icity - a Flight Sim ... and a City Builder']"
7760,"['Brothers in Arms: Road to Hill 30™', 'Brothers in Arms: Earned in Blood™', 'Call of Duty® 2', 'Enemy Front', 'Call of Duty®']"
